subid,list,trialnum,word,pic1,pic2,trialtype,pic1type,pic2type,sidechosen,response,correct,datetesting,time,reaction rt,itemnum
141209-06-sc,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,12/9/14,10:14,1705,2vs1
141209-06-sc,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,12/9/14,10:14,2938,3vs1
141209-06-sc,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,12/9/14,10:14,1732,2vs2
141209-06-sc,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,12/9/14,10:14,3608,2vs1
141209-06-sc,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,12/9/14,10:14,2066,2vs2
141209-06-sc,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,12/9/14,10:14,2058,2vs2
141209-06-sc,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,12/9/14,10:14,1434,2vs1
141209-06-sc,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,12/9/14,10:14,2225,3vs1
141209-06-sc,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,12/9/14,10:14,1627,1vs1
141209-06-sc,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,R,bert_truck2,Y,12/9/14,10:14,1773,1vs1
141209-06-sc,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,12/9/14,10:14,1702,3vs1
141209-06-sc,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,12/9/14,10:14,4194,1vs1
141209-06-sc,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,12/9/14,10:14,1776,2vs1
141209-06-sc,2,17,ernie_bicycle2,ernie_car2,ernie_bicycle2,inference,distractor,target,R,ernie_bicycle2,Y,12/9/14,10:14,3611,3vs1
141209-06-sc,2,18,elmo_apple2,elmo_apple2,elmo_orange2,control_single,target,distractor,L,elmo_apple2,Y,12/9/14,10:14,2542,1vs1
141209-07-sc,1,1,practice1_cow,practice1_cow,practice1_lion,practice,target,distractor,L,practice1_cow,Y,12/9/14,10:52,7438,NA
141209-07-sc,1,2,practice2_monkey,practice2_rabbit,practice2_monkey,practice,distractor,target,R,practice2_monkey,Y,12/9/14,10:52,12108,NA
141209-07-sc,1,3,elmo_teddybear,elmo_flower,elmo_teddybear,control_single,distractor,target,R,elmo_teddybear,Y,12/9/14,10:52,4711,2vs2
141209-07-sc,1,4,elmo_apple,elmo_apple,elmo_orange,inference,target,distractor,R,elmo_orange,N,12/9/14,10:52,4836,3vs1
141209-07-sc,1,5,grover_dog,grover_cat,grover_dog,control_double,distractor,target,L,grover_cat,N,12/9/14,10:52,3516,3vs1
141209-07-sc,1,6,elmo_banana,elmo_banana,elmo_carrot,control_single,target,distractor,R,elmo_carrot,N,12/9/14,10:52,6480,1vs1
141209-07-sc,1,7,grover_car,grover_car,grover_bicycle,inference,target,distractor,L,grover_car,Y,12/9/14,10:52,3892,3vs1
141209-07-sc,1,8,ernie_orange,ernie_apple,ernie_orange,control_single,distractor,target,R,ernie_orange,Y,12/9/14,10:52,1931,1vs1
141209-07-sc,1,9,bert_cat,bert_cat,bert_dog,control_single,target,distractor,L,bert_cat,Y,12/9/14,10:52,3954,2vs2
141209-07-sc,1,10,bert_ball,bert_ball,bert_truck,control_double,target,distractor,L,bert_ball,Y,12/9/14,10:52,3624,2vs1
141209-07-sc,1,11,bert_flower,bert_flower,bert_teddybear,control_double,target,distractor,L,bert_flower,Y,12/9/14,10:52,2141,3vs1
141209-07-sc,1,12,elmo_truck,elmo_ball,elmo_truck,control_single,distractor,target,R,elmo_truck,Y,12/9/14,10:52,1638,1vs1
141209-07-sc,1,13,bert_bicycle,bert_car,bert_bicycle,control_single,distractor,target,R,bert_bicycle,Y,12/9/14,10:52,1551,2vs2
141209-07-sc,1,14,bert_carrot,bert_banana,bert_carrot,inference,distractor,target,R,bert_carrot,Y,12/9/14,10:52,3701,2vs1
141209-07-sc,1,15,ernie_car,ernie_car,ernie_bicycle,control_single,target,distractor,L,ernie_car,Y,12/9/14,10:52,1285,1vs1
141209-07-sc,1,16,grover_orange,grover_apple,grover_orange,control_double,distractor,target,R,grover_orange,Y,12/9/14,10:52,6407,2vs1
141209-07-sc,1,17,ernie_teddybear,ernie_flower,ernie_teddybear,inference,distractor,target,R,ernie_teddybear,Y,12/9/14,10:52,1278,2vs1
141209-07-sc,1,18,grover_ball,grover_ball,grover_truck,control_single,target,distractor,L,grover_ball,Y,12/9/14,10:52,1510,2vs2
