"WorkerId","cond","trialnum","correct","sex","age","lang","rt","itemnum","trialtype"
"ADKKDK6P4MS1Z",2,3,"Y","""M""","""35""","""english""",2007,"3vs1","control_double"
"A3H369LHNNJ1XR",1,3,"Y","""M""","""25""","""English""",1209,"3vs1","control_double"
"AKLG79EPGKTDP",1,3,"Y","""F""","""25""","""English""",714,"3vs1","control_double"
"A1GSIR59HGF3SZ",1,3,"Y","""F""","""35""","""English""",2278,"3vs1","control_double"
"A1HBIE5LRTQK1L",1,3,"Y","""M""","""55""","""English""",1428,"3vs1","control_double"
"ARI4DPDWL5SZY",2,3,"Y","""M""","""35""","""English""",477,"3vs1","control_double"
"A6IFXOBCV436G",1,3,"Y","""M""","""35""","""english""",1674,"3vs1","control_double"
"A2FD57QQWT1J2N",2,3,"Y","""M""","""35""","""english""",1161,"3vs1","control_double"
"A1VSHM4NLZ705D",1,3,"Y","""M""","""35""","""English""",1624,"3vs1","control_double"
"A38R7SIVV118KT",2,3,"Y","""M""","""65""","""english""",1161,"3vs1","control_double"
"A1QVNF19XSRSD7",1,3,"Y","""M""","""35""","""English""",1477,"3vs1","control_double"
"A2T9WRHFRIVAFY",2,3,"Y","""F""","""35""","""English""",2156,"3vs1","control_double"
"A1H11P4QSM08Y1",2,3,"Y","""M""","""35""","""english""",1658,"3vs1","control_double"
"A3MQS8KPUMZB9W",1,3,"Y","""F""","""45""","""English""",1801,"3vs1","control_double"
"A1A2X0T1XE8K89",1,3,"Y","""M""","""25""","""english""",866,"3vs1","control_double"
"A3P74FP62XNVYI",1,3,"Y","""M""","""65""","""English""",1577,"3vs1","control_double"
"A302M81U0HM7RJ",1,3,"Y","""M""","""35""","""english""",1273,"3vs1","control_double"
"A27BKFN6UB1LDP",2,3,"Y","""F""","""35""","""English""",1272,"3vs1","control_double"
"A2G333PKCQQIA0",2,3,"Y","""F""","""35""","""english""",2695,"3vs1","control_double"
"ALIAR9NKPM4YU",2,3,"Y","""F""","""66""","""English""",1590,"3vs1","control_double"
"A7XL1V3G7C2VV",2,3,"Y","""M""","""25""","""English""",1220,"3vs1","control_double"
"A2UIGDOLX5RV95",1,3,"Y","""F""","""25""","""English""",1090,"3vs1","control_double"
"AYCHPTQRYDT7G",1,3,"Y","""F""","""45""","""English""",1253,"3vs1","control_double"
"A1H72BVZEDUFZ7",1,3,"Y","""F""","""25""","""English""",2386,"3vs1","control_double"
"A3K7UC7LUKV0ZV",1,3,"Y","""M""","""35""","""English""",1170,"3vs1","control_double"
"A1BDZFVHI4LH44",2,3,"Y","""M""","""25""","""English""",937,"3vs1","control_double"
"A207IHY6GERCFO",2,3,"Y","""M""","""35""","""English""",1139,"3vs1","control_double"
"A3RIBFIB7C8D20",1,3,"Y","""F""","""25""","""english""",2367,"3vs1","control_double"
"A27O2IILV3S5YS",2,3,"Y","""F""","""35""","""English""",1207,"3vs1","control_double"
"A3HNEYFOIJWPH1",2,3,"Y","""M""","""35""","""English""",902,"3vs1","control_double"
"AELOYBHVZFDW9",2,3,"Y","""M""","""55""","""english""",1194,"3vs1","control_double"
"A2UF2FRGVW4T89",1,3,"Y","""M""","""45""","""English""",1720,"3vs1","control_double"
"A1XOXGWBAN6HEJ",1,3,"Y","""M""","""35""","""english""",714,"3vs1","control_double"
"A7RAVFS10BUZ1",2,3,"Y","""M""","""55""","""English""",1509,"3vs1","control_double"
"A2179VLITZ8QHP",2,4,"Y","""M""","""35""","""English""",1990,"2vs2","control_single"
"A1F63RK1PMJS5Y",1,4,"Y","""M""","""35""","""English""",777,"1vs1","control_single"
"A2OYTHYZI938A7",1,4,"Y","""F""","""35""","""English""",747,"1vs1","control_single"
"A2ZH5LDUY5UFD4",1,4,"Y","""M""","""45""","""English""",1464,"1vs1","control_single"
"A2RXJXDJ5IWHCF",2,4,"Y","""F""","""35""","""English""",814,"2vs2","control_single"
"A1Y8MOE9J7CMPQ",1,4,"Y","""M""","""45""","""English""",967,"1vs1","control_single"
"A3LZG0E2BOVFI0",2,4,"Y","""F""","""55""","""English""",1443,"2vs2","control_single"
"A10K8ZSAU26T49",2,4,"Y","""F""","""55""","""English""",2376,"2vs2","control_single"
"AIUKV0KVALMY6",1,4,"Y","""F""","""35""","""english""",1268,"1vs1","control_single"
"A3MBIX6DHJS68K",2,4,"Y","""F""","""35""","""English""",902,"2vs2","control_single"
"A3CD3C99T8S6ON",2,4,"Y","""M""","""25""","""English""",1088,"2vs2","control_single"
"A3SW1BXR31CZY0",1,4,"Y","""M""","""35""","""English""",1024,"1vs1","control_single"
"AK467M5VTG7N4",1,4,"Y","""M""","""25""","""English""",1122,"1vs1","control_single"
"A24MK3QPZ1V1L8",1,4,"Y","""M""","""35""","""english""",1382,"1vs1","control_single"
"ADKKDK6P4MS1Z",2,4,"Y","""M""","""35""","""english""",1608,"2vs2","control_single"
"A3H369LHNNJ1XR",1,4,"Y","""M""","""25""","""English""",825,"1vs1","control_single"
"AKLG79EPGKTDP",1,4,"Y","""F""","""25""","""English""",517,"1vs1","control_single"
"A1GSIR59HGF3SZ",1,4,"Y","""F""","""35""","""English""",920,"1vs1","control_single"
"A1HBIE5LRTQK1L",1,4,"Y","""M""","""55""","""English""",818,"1vs1","control_single"
"ARI4DPDWL5SZY",2,4,"Y","""M""","""35""","""English""",587,"2vs2","control_single"
"A6IFXOBCV436G",1,4,"Y","""M""","""35""","""english""",1986,"1vs1","control_single"
"A2FD57QQWT1J2N",2,4,"Y","""M""","""35""","""english""",2182,"2vs2","control_single"
"A1VSHM4NLZ705D",1,4,"Y","""M""","""35""","""English""",760,"1vs1","control_single"
"A38R7SIVV118KT",2,4,"Y","""M""","""65""","""english""",1297,"2vs2","control_single"
"A1QVNF19XSRSD7",1,4,"Y","""M""","""35""","""English""",887,"1vs1","control_single"
"A2T9WRHFRIVAFY",2,4,"Y","""F""","""35""","""English""",1860,"2vs2","control_single"
"A1H11P4QSM08Y1",2,4,"Y","""M""","""35""","""english""",1176,"2vs2","control_single"
"A3MQS8KPUMZB9W",1,4,"Y","""F""","""45""","""English""",1109,"1vs1","control_single"
"A1A2X0T1XE8K89",1,4,"Y","""M""","""25""","""english""",590,"1vs1","control_single"
"A3P74FP62XNVYI",1,4,"Y","""M""","""65""","""English""",961,"1vs1","control_single"
"A302M81U0HM7RJ",1,4,"Y","""M""","""35""","""english""",681,"1vs1","control_single"
"A27BKFN6UB1LDP",2,4,"Y","""F""","""35""","""English""",1577,"2vs2","control_single"
"A2G333PKCQQIA0",2,4,"Y","""F""","""35""","""english""",1537,"2vs2","control_single"
"ALIAR9NKPM4YU",2,4,"Y","""F""","""66""","""English""",1513,"2vs2","control_single"
"A7XL1V3G7C2VV",2,4,"Y","""M""","""25""","""English""",888,"2vs2","control_single"
"A2UIGDOLX5RV95",1,4,"Y","""F""","""25""","""English""",897,"1vs1","control_single"
"AYCHPTQRYDT7G",1,4,"Y","""F""","""45""","""English""",970,"1vs1","control_single"
"A1H72BVZEDUFZ7",1,4,"Y","""F""","""25""","""English""",1576,"1vs1","control_single"
"A3K7UC7LUKV0ZV",1,4,"Y","""M""","""35""","""English""",964,"1vs1","control_single"
"A1BDZFVHI4LH44",2,4,"Y","""M""","""25""","""English""",539,"2vs2","control_single"
"A207IHY6GERCFO",2,4,"Y","""M""","""35""","""English""",1100,"2vs2","control_single"
"A3RIBFIB7C8D20",1,4,"Y","""F""","""25""","""english""",1255,"1vs1","control_single"
"A27O2IILV3S5YS",2,4,"Y","""F""","""35""","""English""",535,"2vs2","control_single"
"A3HNEYFOIJWPH1",2,4,"Y","""M""","""35""","""English""",1171,"2vs2","control_single"
"AELOYBHVZFDW9",2,4,"Y","""M""","""55""","""english""",740,"2vs2","control_single"
